
David Guy
Steve Callaghan
David Grann
Mat Johnson
Adam Hargreaves
Lyudmila Ulitskaya
BMI Staff
Sarmila Bose
David Weinberger
Stephen Hawking
Steve Corbett, Brian Fikkert
Giulio Angioni
John Cowper Powys
Richard Feynman
James Joyce
Philip Lee Williams
George Orwell
Tim Downs
Herman Raucher
Dustin Long (writer)
Abbas Milani
Daniel D.W.
Ranulph Fiennes
Betty Mahmoody
Greg Buckman
Enid Moodie Heddle
Colin Bateman
Mary Boykin Chesnut
Paul Russell (novelist)
Chris Nyst
Parappurath
Christopher Funkhouser
Farley Mowat
Eric Carle
J. B. Post
Mathew Padilla
Emerson Hough
Ann Brashares
Else Poulsen
Gary Marcus
Rashmi Bansal
Robin Maugham
Wendy Coakley-Thompson
Hiroshi Yamamoto
Louise Erdrich
Annie Proulx
Alexander Berkman
Carrie Fisher
Evans-Price, Deborah
George Eman Vaillant
Keefe
Kylie Minogue
Chuck Klosterman
Garry Disher
Marjorie Bowen
James Craig
Richard Price (writer)
Susan Power
Bernard Bailyn
Isabel Fonseca
K. R. Meera
Dorie Greenspan
M. T. Anderson
Robb White
Garth Stein
Preston Keat
Sarah Pinborough
Jane Louise Curry
George Dohrmann
Steven Barnes
Mary Gilmore
Lee Smolin
Ruth C. Williams
Jerry Seinfeld
Anatole France
Peter Sís
Richard Brealey
Dwight D. Eisenhower
Henry Russell Miller
Mark Haddon
Craig Marks
Richard T. Ford
Shawn Wong
James D. Foley
Aldous Huxley
Philip K. Dick
Gillian Flynn
Amanda Filipacchi
Austin Tappan Wright
Viktor Suvorov
Suhayl Saadi
Caulfield, Phillip
Kenneth W. Royce
Will Aitken
John Keel
Daniel Handler
Nan
Lin Oliver
David Deutsch
Wally Lamb
Eve Pownall
Graeme Base
Marcia Talley
Ursula K. Le Guin
Rand Araskog
John Steele Gordon
Raymond Federman
Paul Watkins (novelist)
Merari Siregar
Doris Kearns Goodwin
William Taubman
Elizabeth Moorhead
Cornel West
Sebastian Faulks
F. Scott Fitzgerald
Ann C. Crispin
Les Murray (poet)
William Hart-Smith
Sue Grafton
Dan Jolley
Ralph Leighton
Mark Twain
Susan M. Gaines
Larry Niven
Douglas Coupland
John Rabe
Susan Hill
Bernhard Schlink
Peter Ward (paleontologist)
Warren Adler
David Ireland (author)
Kevin D. Williamson
P. G. Wodehouse
Helen Garner
James C. Collins
Kang Chol-hwan
Charley Boorman
Martin Lings
Annie Barrows
Mani Shankar Mukherjee
Prosper Montagné
Joseph Lelyveld
James David Macdonald (ornithologist)
Peter F. Hamilton
Tori Kropp
Paul Harding (author)
Chester Aaron
Bruce Chatwin
Breandán Ó hEithir
Robin Sloan
Charles Dickens
Barrington J. Bayley
Val McDermid
Josephine Hart
Katherine Hannigan
Linwood Barclay
Arun K. Pati
Hanna Johansen
Jan Widströmer
Colin Thubron
P.E King
Tom Wolfe
Elizabeth Harrower (writer)
Alexander Theroux
Robert Asprin
Wil McCarthy
Neal Bascomb
Graham E. Fuller
Cowan, Alison Leigh
Jerry A. Eichenberger
Chris Adrian
Janny Wurts
Andries van Dam
Lee Gutkind
David Guy (writer)
Charles Seife
Tommy Tenney
Hugh McManners
Edmund Bacon (architect)
Lawrence Anthony
Ethel Voynich
Donald Keene
Joe Haldeman
Dell
Patrick White
Karolina Lanckorońska
Jens David Ohlin
Chris Columbus (filmmaker)
Han Suyin
Nan McDonald (poet)
Theodore DREISER
Elie Wiesel
Grigoriadis, Vannessa
William T. Vollmann
John Steinbeck
Kevin J. Anderson
Theodore Dalrymple
Mark Behr
Barbara Smuts
Stephen Hopgood
Alasdair Cochrane
Lawrence A. Cremin
C. Vann Woodward
Cohen, Jason
Christopher Barzak
Ally Carter
Stephen Rebello
Zarah Ghahramani
Brian Welch
Ruth Park
Mark Driscoll (pastor)
Bernard Malamud
Edward Irving Wortis
Loung Ung
William Harrison Ainsworth
Eddie Huang
Paul Horgan
Charles A. Reich
Whitley Strieber
André Pieyre de Mandiargues
James Patrick Kelly
Paul Offit
Steven Brust
Robert Lipsyte
Gregory Berns
Ben Bova
Gore Vidal
Mur Lafferty
Elmore Leonard
Hillary Clinton
Faye Kellerman
Gina Garan
Keay Davidson
Nancy Pickard
Brian Daley
Charmian Clift
Michael Muhammad Knight
Carolyn Parkhurst
Barry Pilton
Robert Santelli
Cheryl Strayed
Julie Murphy (author)
Jean-Paul Sartre
Lloyd Alexander
Susana Martinez-Conde
Marianne de Pierres
Bill Gertz
A. Bertram Chandler
Jeffery Paul Chan
Donald N. Sull
Rich Burlew
Celia Goodman
Don E. Fehrenbacher
James Oppenheim
Michael Frayn
P. Padmarajan
Woody Allen
Neu, Clayton
Maryse Holder
Anaïs Nin
Drew Carey
Saeed Akhtar Mirza
Timothy Brook
John van de Ruit
Cherie Priest
Dean Koontz
Steven Saylor
Leahey, Andrew
B. S. Levy
Autumn de Wilde
Andrew Westoll
Tony Schwartz (author)
Diana Gabaldon
Jeanne Robinson
Jack Cohen (scientist)
Jon Taffer
Umberto Saba
Mary Douglas
Punathil Kunjabdulla
Gautam Malkani
Peg Kehret
Masoumeh Ramhormozi
Irvine Welsh
Jeff Kinney (writer)
Christopher Andersen
Biography staff
Candace Bushnell
Kelly D. Brownell
Everett, Christina
Kip Thorne
Eminem
Leon Litwack
Kathleen Cambor
Block book
S. A. Bodeen
Ann Coulter
William Bay
Lena Andersson (author)
Josh Levs
Proulx, E. Annie
Peter Hitchens
Russell Banks
Leigh Brackett
Douglas Anthony Cooper
Richard Russo
Ellen Raskin
Philippa Gregory
George Smoot
Jacqueline Wilson
William Jankowiak
David Weber
Gary Shteyngart
Mallory Reaves
Matthew Kapell
Bill Hicks
Judith Miller (journalist)
Miller Loncaric, Melissa
Arnold Bennett
Bankim Chandra Chattopadhyay
Xavier Herbert
Michael Reaves
Morrissey
Corrina Wycoff
Bob Ong
Paul C. W. Davies
Diana Wynne Jones
Steven M. Wise
Deborah Noyes
David Orrell
Steven K. Feiner
Sally H. Jacobs
Ken Blanchard
Laurie Halse Anderson
Emma Orczy
Peter Coleman
Mary Jane Clark
Stephen Gray (writer)
Antoinette Portis
Michael Chabon
Heidi Murkoff
Mansour Bushnaf
Larry Kane
Barbara Robinson (author)
Joshua Knelman
Reif Larsen
Paul Hoffman (English writer)
Nick Hornby
Oskar Morgenstern
Sherry Garland
Sharon M. Draper
Henning Boëtius
David Malouf
Primo Levi
Mack Reynolds
Sarah Addison Allen
Chris Anderson (writer)
Paul Laurence Dunbar
Khushwant Singh
Kenneth S. Deffeyes
Nathan Englander
Joseph Bathanti
Nabijan Tursun
Glenn Greenwald
Andrey Kurkov
D. H. Lawrence
H. Rider Haggard
Hann, Michael
Mark Lewisohn
Joan Phipson
Zilpha Keatley Snyder
Sharon Moalem
Clive Barker
David Foster (novelist)
Courtney Summers
Gay Talese
Ray Banks
None
Aaron Fisher, Michael Gillum, and Dawn Daniels
E. M. FORSTER
James Q. Wilson
Lawrence Kutner (psychologist)
Eknath Easwaran
Edmund Morgan (historian)
Paul Roberts (author)
Terrance Dicks
Geoffrey Moore
Samuel Butler (1835-1902)
Arthur Allen (author)
Briscoe Center staff
William Lashner
Adam Jay Epstein
Robert K. G. Temple
Hamilton, Reeve
Robert Sobel
Richard A. Knaak
John M. Ford
Nicholas Sparks (author)
Henry Kuttner
David Halberstam
Laura Amy Schlitz
Greil Marcus
Brian Solis
Jasper Fforde
Eric L. Harry
Leif Enger
Robin Cook (novelist)
James Herbert
Jr.
Larry Gonick
John von Neumann
Jordan Belfort
Andrew Goldberg (writer)
Chris Van Allsburg
Joseph M. Reagle Jr.
Edited by Alison Brayfield
Mario Puzo
Lisa Randall
Sheikh Mujibur Rahman
Peter C. Perdue
Agnes Sligh Turnbull
Tom Standage
Alfred Bester
Chris Bohjalian
Nina Revoyr
Nate Silver
Darrell Schweitzer
Olive Price
Subhash Chandran
S. F. Said
Frank Dikötter
Stephen Covey
Hearn
Jane Werner Watson
T. S. Eliot
Nora Roberts
Abigail Pogrebin
Taylor Branch
Michael O' Malley
Pattie Mallette
Sherman Alexie
Zhao Ziyang
Richard Davis
Daniel Alarcón
George V. Higgins
Frank Chin
Kathryn Lasky
Jack Broughton
Patrick McGrath (novelist)
Fred Uhlman
Kitty Burns Florey
Joseph Furphy
Eve Langley
Jennifer Steil
Barry Nalebuff
Andy Warhol
Charlie Jane Anders
Paul Howard (journalist)
Tony Duvert
