Kevola Observatory
Siphosethu Tshingana
North Cornwall District
Elodie Guiglion
Chloe Butler
Natasha Haines
Sharon Lynch
Marie Louise Reilly
Borough of Oswestry
Rachelle Geldenhuys
South Shropshire District
Siobhan Fleming
Nice Observatory
Cerys Hale
Marion Lievre
Assa Koïta
Svetlana Karatygina
Teesdale District
Super Series 2015
Jennifer Troncy
Ashley Marsters
Sandra Rabier
Gaëlle Mignot
Borough of Sedgefield
Borough of
Symbat Zhamankulova
Asithandile Ntoyanto
Humberside
Ailis Egan
Wear Valley District
Sophie Spence
City of Durham
Balzhan Koishybayeva
Casey Robertson
Danielle Meskell
Brooke Saunders
Kendra Cocksedge
The Victory Garden
Marine De Nadaï
Derwentside
Emma Jensen
Shona-Leah Weston
Oakley Observatory
Marjorie Mayans
Ruth McKay
Laëtitia Grand
Hannah Casey
Hamburg-Bergedorf Observatory
Nwabisa Faith Ngxatu
Jackie Shiels
Nora Stapleton
Mandisa Williams
Lund Observatory
Amiria Rule
Fersfield
Grace Davitt
Bridgnorth District
Camille Grassineau
South Bedfordshire
Halie Tiplady-Hurring
Sian Moore
Celeste Aneurin Adonis
Anastassiya Khamova
Vuyolwethu Vazi
McMillin Observatory
Boyden Observatory
Laetitia Salles
Jennifer Davies
Svetlana Klyuchnikova
Yelena Rogacheva
Stephanie Te Ohaere-Fox
Carys Phillips
Justine Lavea
NTRM
Hoher List Observatory
Eloise Blackwell
Aigerym Daurembayeva
Michelle Milward
Linda Itunu
Shakira Baker
Jenny Murphy
Easington District
Catrin Edwards
Amina Baratova
Zimmerwald Observatory
Lamla Momoti
Karina Proskurina
Olga Sazonova
Adi Taviner
Coumba Tombe Diallo
Sioned Harries
Oneata Schwalger
Belgrade Observatory
Sinazo Nobele
Sian Williams (rugby player)
2012
2011
Stony Ridge Observatory
2010
North Shropshire District
2009
2008
2007
2006
Anna Yakovleva
2005
Astronaut Memorial Planetarium and Observatory
2004
Alisha Hewett
Victoria Subritzky-Nafatali
2003
2002
Cobie-Jane Morgan
Caroline Vakalahi
Kathleen Wilton
Caroline Ladagnous
National Observatory of Athens
Vikki McGinn
Robyn Wilkins
Shona Powell Hughes
Avon
Honey Hireme
Sternwarte Uecht
Caradon District
Tui Ormsby
Mid Bedfordshire
Jessy Tremouliere
2014
2013
Te-Kura Ngata-Aerengamate
Shannon Izar
Sanita Levave
Megan York
Lilya Bazyaruk
Laurie Harries
Portia Jonga
Philippa Tuttiett
Élodie Poublan
Elen Evans
Besançon Astronomical Observatory
Alison Miller (rugby union)
Royal Observatory of Belgium
Away Boarders
Neuchâtel Observatory
Phumeza Gadu
Borough of Congleton
Siviwe Basweni
Larissa Muldoon
Nia Davies
Catrina Nicholas
Sharni Williams
Tayla Kinsey
Aroha Savage
Huriana Manuel
Elinor Snowsill
Kerrier District
Yelena Kiryushina
ARIn
Mollie Gray
Aigul Dairbayeva
Rawinia Everitt
Rachel Taylor (rugby player)
Rafique Taylor
JNEn
Veronika Stepanyuga
amausili
Jackie Patea
Ashleigh Baxter
Laura Guest
Yelena Muradova
Christelle Chobet
Penwith District
Rebecca Smyth
Irina Radzivil
Crimean Astrophysical Observatory
Liz Patu
Orla Fitzsimons
Rebecca De Filippo
Paula Fitzpatrick
Kelly Brazier
Chester-le-Street District
Selica Winiata
Elodie Portaries
Shannon Parry
Pyote Air Force Station
Aleisha Nelson
Borough of Vale Royal
Iso-Heikkilä Observatory
Zenay Jordaan
Fundiswa Plaatjie
South African Astronomical Observatory
LightBuckets
Sandrine Agricole
Collurania-Teramo Observatory
Brera Astronomical Observatory
Yelena Yevdokimova
Kvistaberg Observatory
Kundyzay Baktybayeva
Sonnenborgh Observatory
Veroeshka Jasmine Grain
Margaret Watson
Elli Norkett
Nolusindiso Booi
Tania Rosser
Union Observatory
Fiona Hayes
Jennifer Hawkins (rugby player)
Borough of Crewe and Nantwich
Dyddgu Hywel
Tricia Brown
Hereford and Worcester
Diaye
Tuorla Observatory
Dalena Dennison
Fiona Coghlan
Manon André
Cindy Cant
Cebisa Kula
Carrick District
Salisbury District
Christelle Le Duff
Renee Wickcliffe
Caryl Thomas
Denita Wentzel
Borough of Restormel
Lyudmila Matiyeva
Amy Day
Bella Benele Makwezela
Claire Molloy
Lorinda Brown
Marianna Balashova
City of Chester
Nigora Nurmatova
Brien
Cheyenne Campbell
Nita Maynard
Borough of Macclesfield
Lynne Cantwell
United Nations Economic Commission for Europe
Koumiba Djossouvi
Nomathamsanqa Yolanda Faleni
Niamh Briggs
Rebecca Clough
Cleveland
Ellesmere Port and Neston
Olga Bakhtiguzina
Ziyanda Tywaleni
Helsinki University Observatory
Lyudmila Sapronova
Yanna Rivoalen
Claire Corky
Oxana Shardina
Louise Burrows
Natalya Kamendrovskaya
Madeline Putz
Ashleigh Hewson
Hélène Ezanno
Rebuilt Bridgeton Covered Bridge 2006
Lise Arricastre
Kerrie-Ann Craddock
Borough of Shrewsbury and Atcham
Women's Rugby
